UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
108092,142276,159966,106458,159717,138354,127556,171137,178387,101480,159993,101879,187046,206914,228802,207661,161554,151360,214689,186371,240365,440828,230728,180489,179557,230603,220075,167729,155681,155399,149222
108232,208239,18922801,145460,460738,410502,442569,450942,466930,455169,429094,11458501,454245,439914,457129,430704,367954,446002,446039,429085,447698,123952,138929,444699,234492,441308,454236,113582,475741,439020,127918
108269,123095,220996,142832,167181,401250,126012,441308,441104,177427,369659,141936,164915,169220,110307,209296,167215,117520,166717,147031,228194,218751,459745,11508303,11508305,11508306,11917301,126049,480198,445735,240213
108861,233842,165705,176451,112127,114840,190080,115214,150288,124283,215424,213631,179317,177092,227289,143233,150215,189981,176600,151865,14736901,14736902,186122,169099,120795,164474,195580,145275,239424,172705,219240
108870,366368,15468802,15468801,165495,148982,189015,20627903,20627905,20627901,20627902,157207,409254,178518,455804,223001,144014,191320,224305,146977,11046802,11046804,11046805,11046801,11046803,220871,123952,140562,167215,231147,446932
109651,140951,120403,169442,217493,129525,122506,167899,213987,166452,198695,166656,168254,168421,136774,195030,217402,169080,168227,153269,130253,409616,236230,131283,149028,173045,137546,122296,238324,148593,235316
109785,110097,186584,188429,195720,121150,193973,176053,236577,217518,130226,122612,173179,14902801,16822702,409616,144740,186283,110413,201195,125763,211088,185572,191649,168421,216597,121309,207971,238661,129242,102049
110060,247825,172033,457226,127714,160029,210368,196884,173896,110918,157298,127273,131973,193894,414966,21036802,23384201,15483701,21036801,154837,457697,388520,215628,246345,147031,120838,443049,38561901,38561902,440794,260947
110097,109785,186584,195720,193973,188429,121150,176053,121309,129242,137847,236230,14902801,409616,16822702,236577,130226,144962,130253,168421,194958,152600,217165,102049,186283,215655,194310,125763,110413,144740,216597
110185,432533,234492,221254,188146,451796,126702,173887,217013,117928,130110,441973,167394,138813,450094,451848,377546,117113,136774,239080,197151,113582,208239,443410,468015,367194,428286,145460,455178,142887,146393
110307,369659,209296,459745,240213,143978,11508303,11508305,11508306,455664,243823,219639,446039,220996,108269,11917301,110778,123095,445735,454245,480198,475741,142832,179450,442949,123633,122117,156727,231651,163578,234915
110316,195173,192925,157757,231651,210304,155335,206279,114813,125897,144740,212984,11508306,11508305,11508303,110307,459745,120883,240213,209296,176628,131159,195544,369659,143978,122612,239105,195809,178059,229160,199272
110361,137847,121309,236577,19554401,168005,207458,208488,181002,19457801,209825,117946,176053,110370,110413,173045,219976,148627,215770,177968,165662,147679,163046,193973,228149,154235,190716,204617,211556,121691,195234
110370,366368,143048,236577,164748,202170,121309,110361,192110,169442,120403,137847,202073,235024,122506,122454,194578,136774,122612,197151,209825,117946,181002,165662,207458,144740,214971,163295,175281,459824,392840
